"Date","Local Route","Light Rail","Peak Service","Rapid Route","School","Other"
"07/03/2021","3,466","4,709","0","7,517","0","68"
"07/08/2019","27,789","15,877","466","35,718","6,333","68"
"15/01/2020","18,222","12,378","405","26,258","0","15"
"27/05/2022","19,488","11,225","222","21,612","3,193","244"
"12/08/2023","5,993","7,692","0","12,349","0","132"
"12/02/2023","3,878","5,949","0","9,320","0","67"
"29/06/2023","20,690","12,578","347","24,698","3,746","319"
"08/11/2019","25,407","15,486","412","33,629","5,943","71"
"18/01/2021","14,695","6,594","315","17,949","0","90"
"09/11/2023","23,200","13,657","403","26,359","6,882","296"
"28/12/2019","4,011","5,160","0","8,132","0","18"
"13/05/2022","19,993","11,277","187","21,806","5,655","213"
"24/04/2020","5,193","2,674","50","6,441","0","9"
"13/01/2021","14,408","6,523","254","17,632","0","101"
"26/04/2020","1,140","1,131","0","2,298","0","6"
"21/03/2022","20,085","10,310","247","21,215","5,962","176"
"27/08/2020","17,917","8,314","185","17,106","5,516","125"
"05/07/2022","14,558","10,153","244","18,848","0","118"
"07/02/2021","3,218","4,546","0","7,106","0","60"
"07/08/2021","4,480","5,542","0","9,078","0","77"
"11/02/2022","18,161","9,335","136","18,598","6,397","189"
"15/03/2024","24,078","15,543","344","28,200","6,346","374"
"28/05/2020","11,715","5,111","108","12,282","4,248","9"
"10/10/2021","984","869","0","2,061","0","44"
"04/09/2023","23,321","13,409","380","26,104","6,619","253"
"08/03/2022","19,943","9,688","249","20,702","6,423","202"
"08/09/2023","21,803","13,250","287","25,504","6,105","201"
"05/08/2022","18,018","11,343","176","21,976","1,720","205"
"12/03/2023","3,999","6,194","0","10,345","0","38"
"04/09/2022","3,261","4,737","0","8,135","0","32"
"27/01/2024","6,347","7,753","0","13,409","0","114"
"09/05/2020","1,789","1,860","0","3,542","0","9"
"30/09/2021","3,888","1,448","23","4,125","0","67"
"13/03/2022","3,161","4,544","0","7,771","0","49"
"24/09/2019","27,359","16,704","531","35,402","5,945","32"
"13/04/2020","1,152","965","0","2,068","0","6"
"03/02/2020","22,657","14,316","411","30,856","1,225","29"
"16/12/2022","18,859","12,275","199","22,797","917","240"
"12/01/2023","16,119","10,447","251","20,218","0","158"
"29/09/2023","17,991","14,452","257","25,968","0","293"
"18/04/2021","3,039","4,141","0","6,848","0","58"
"08/05/2020","6,175","3,339","67","7,771","132","17"
"04/05/2023","24,819","14,356","411","28,054","6,874","355"
"18/09/2024","26,500","14,523","430","29,874","6,893","265"
"20/11/2019","26,580","15,365","532","33,604","6,318","70"
"18/06/2022","4,532","5,699","0","9,263","0","77"
"23/10/2022","3,355","4,993","0","7,933","0","67"
"07/11/2022","20,697","11,349","299","22,305","5,549","239"
"05/10/2021","4,308","1,653","37","4,585","0","54"
"05/04/2022","21,033","10,955","329","22,613","6,325","187"
"05/10/2020","2,766","3,613","0","6,180","0","61"
"08/11/2020","2,742","3,606","0","6,123","0","50"
"29/05/2021","4,507","5,782","0","9,151","0","66"
"24/12/2022","4,066","4,690","0","8,274","0","48"
"03/11/2020","20,057","9,414","277","20,064","5,828","124"
"17/04/2020","4,985","2,379","62","5,972","0","11"
"13/01/2020","17,128","12,033","403","25,080","0","4"
"22/03/2023","25,620","14,428","447","29,794","6,907","276"
"11/04/2024","26,060","14,063","386","28,808","6,719","330"
"03/09/2021","3,807","1,356","23","3,894","0","47"
"07/11/2023","25,246","14,076","364","28,651","7,363","198"
"15/04/2021","17,808","11,539","322","22,400","0","149"
"30/11/2021","17,170","8,928","229","18,357","4,932","180"
"09/10/2020","13,814","8,309","216","16,429","0","75"
"12/06/2021","4,467","5,493","0","8,975","0","34"
"19/12/2019","21,032","13,573","397","28,077","872","13"
"06/06/2022","18,586","10,079","262","19,862","5,564","164"
"12/07/2021","20,987","10,834","309","21,887","3,030","148"
"12/05/2020","6,325","3,285","77","7,983","958","11"
"20/11/2020","19,846","10,966","216","20,538","5,184","120"
"18/02/2021","24,112","11,795","330","24,910","6,677","225"
"23/07/2019","27,854","16,066","507","34,541","6,476","21"
"03/06/2021","21,152","10,734","350","21,778","5,764","151"
"19/04/2023","18,956","13,271","409","26,190","0","217"
"26/04/2023","25,619","14,406","401","29,643","7,168","333"
"05/01/2020","2,063","2,712","0","4,014","0","9"
"01/09/2023","23,596","14,538","328","27,824","6,244","294"
"07/06/2023","24,146","13,634","450","26,519","6,336","296"
"23/05/2020","2,065","2,369","0","4,602","0","7"
"30/07/2019","28,387","16,444","531","34,905","6,340","126"
"04/06/2021","23,416","12,276","285","23,823","6,338","157"
"01/08/2019","28,382","16,452","512","35,169","6,274","59"
"28/05/2022","4,360","5,295","0","8,979","0","46"
"30/08/2021","3,383","1,132","29","3,413","0","49"
"09/11/2021","15,831","7,264","172","15,308","5,514","134"
"17/06/2020","14,187","6,839","160","15,280","5,441","43"
"09/05/2022","19,951","10,833","304","21,084","5,679","167"
"05/06/2022","2,588","3,518","0","6,445","0","37"
"14/04/2022","14,880","9,559","213","18,693","0","185"
"06/10/2023","18,238","13,511","300","25,035","0","219"
"30/01/2024","22,291","13,033","414","26,178","241","306"
"08/01/2020","15,625","11,031","357","22,635","0","13"
"22/06/2024","7,286","7,091","0","12,239","1","101"
"22/08/2020","2,852","3,582","0","6,336","0","29"
"13/11/2023","4,597","13,523","51","6,463","1,489","28"
"01/06/2023","23,787","13,554","394","26,705","6,346","263"
"02/05/2020","1,565","1,569","0","3,148","0","14"
"20/02/2023","24,411","14,290","374","28,261","7,066","302"
"11/06/2022","4,272","5,275","0","9,055","0","55"
"19/10/2023","25,537","14,523","342","28,861","6,716","225"
"04/08/2019","5,203","5,758","0","8,231","0","3"
"09/02/2020","3,438","4,443","0","7,453","0","22"
"25/02/2020","30,187","17,267","580","38,996","7,287","1"
"03/03/2023","24,578","14,461","312","28,458","6,421","225"
"10/08/2021","23,639","12,340","351","24,880","6,402","205"
"21/09/2019","6,301","6,989","0","9,944","0","9"
"23/12/2023","5,610","6,160","0","10,399","0","56"
"15/08/2020","2,914","4,068","0","6,643","0","33"
"22/11/2021","15,799","7,841","192","16,177","5,464","145"
"23/08/2022","19,560","10,703","258","21,561","5,546","183"
"10/07/2023","16,244","11,393","335","21,931","0","233"
"17/09/2024","26,900","14,668","390","30,165","7,590","264"
"18/03/2020","23,223","11,486","368","28,610","6,587","7"
"21/07/2022","19,378","9,943","234","20,669","5,829","186"
"21/01/2022","10,209","5,858","71","12,207","0","99"
"04/03/2022","20,583","10,327","195","21,860","6,209","274"
"10/07/2021","4,219","5,643","0","8,754","0","70"
"15/02/2020","4,933","6,973","0","11,133","0","23"
"27/05/2023","5,472","6,915","0","10,999","0","105"
"10/12/2021","14,980","8,752","187","17,036","2,367","104"
"03/06/2023","5,445","6,819","0","11,176","5","111"
"05/09/2022","20,534","11,226","285","22,112","6,250","257"
"20/06/2023","22,063","13,219","443","25,893","5,836","385"
"04/12/2023","23,434","13,277","398","26,219","5,025","148"
"26/09/2019","27,334","15,812","503","35,330","5,853","28"
"18/01/2022","9,013","5,000","111","10,710","0","97"
"27/10/2021","11,533","4,883","85","11,192","2,388","119"
"07/05/2022","4,402","5,751","0","9,269","0","43"
"31/12/2022","4,604","5,480","0","10,319","0","70"
"04/04/2023","25,182","14,266","388","27,861","7,095","220"
"27/12/2020","2,566","3,720","0","5,841","0","49"
"04/08/2023","23,925","14,425","299","28,020","6,285","311"
"01/10/2021","4,222","1,636","24","4,354","0","52"
"14/09/2023","24,173","14,152","359","28,246","6,414","366"
"29/09/2021","3,437","1,299","27","3,735","0","59"
"06/06/2021","2,995","4,096","0","6,835","0","48"
"30/01/2023","16,212","11,007","276","21,240","598","168"
"24/10/2019","27,591","16,405","505","36,121","6,254","23"
"24/01/2022","10,238","5,540","135","11,716","0","98"
"19/09/2021","930","781","0","1,828","0","46"
"05/06/2020","13,697","6,777","110","14,917","5,216","10"
"18/04/2024","21,150","14,028","405","27,802","0","303"
"21/08/2024","26,537","14,593","420","30,698","7,210","203"
"30/04/2020","4,651","2,440","73","5,801","101","18"
"11/07/2024","18,342","12,489","364","23,929","0","209"
"01/11/2020","2,829","3,259","0","6,160","0","72"
"16/03/2022","20,683","10,858","306","22,622","6,261","321"
"29/11/2022","22,368","12,746","293","24,043","5,384","188"
"11/10/2023","25,952","15,071","430","30,044","6,811","240"
"03/02/2024","6,378","7,076","0","12,345","0","117"
"23/11/2019","5,209","9,606","0","13,814","0","144"
"07/12/2020","19,291","10,238","254","19,840","4,249","123"
"05/03/2022","4,386","5,101","0","9,032","0","30"
"14/08/2019","27,190","15,725","527","35,615","6,136","43"
"23/06/2024","4,132","5,415","0","9,366","0","121"
"12/07/2024","17,579","11,904","259","22,585","0","194"
"13/08/2021","3,881","1,725","30","4,032","17","35"
"13/04/2022","14,970","9,823","265","19,567","0","132"
"10/03/2021","24,444","12,068","389","25,678","6,605","165"
"15/01/2024","17,280","10,911","386","21,430","0","193"
"29/09/2022","17,053","11,694","228","22,823","0","174"
"29/03/2022","20,443","11,039","298","22,110","6,066","120"
"22/06/2022","19,094","11,204","276","21,424","4,956","157"
"16/10/2020","18,957","9,391","233","19,195","5,757","103"
"03/09/2022","5,145","6,481","0","10,993","0","137"
"23/06/2020","13,547","7,064","178","15,393","5,446","44"
"06/09/2020","2,418","3,400","0","5,685","0","43"
"03/01/2021","2,334","3,049","0","4,836","0","40"
"08/02/2021","23,046","11,379","305","22,887","7,274","109"
"11/02/2024","4,277","6,164","0","10,608","0","41"
"29/07/2019","26,800","15,135","483","33,020","6,510","109"
"25/05/2022","20,584","11,531","272","22,280","5,636","181"
"02/08/2020","2,438","3,164","0","5,205","0","46"
"01/07/2021","14,919","9,430","302","18,391","0","138"
"12/08/2022","19,770","10,794","177","21,282","5,521","155"
"18/06/2024","25,647","13,520","408","27,408","7,254","372"
"22/01/2023","3,336","4,933","0","7,717","0","47"
"28/08/2020","17,700","8,850","191","17,847","4,900","98"
"19/05/2022","20,783","11,616","318","22,534","5,584","171"
"10/02/2022","18,629","8,372","148","18,048","6,686","192"
"19/11/2019","27,127","15,612","548","34,139","6,333","33"
"16/12/2021","16,434","9,571","224","19,087","1,009","189"
"07/11/2021","2,303","2,919","0","5,076","0","37"
"19/05/2021","24,092","12,284","372","25,093","6,236","146"
"18/07/2022","18,937","10,171","259","20,508","3,098","169"
"11/06/2023","3,884","5,685","0","8,935","0","72"
"25/01/2021","12,588","7,204","169","14,357","0","78"
"26/08/2019","26,694","15,263","461","33,477","6,100","15"
"07/07/2024","3,669","5,290","0","9,081","0","80"
"31/03/2021","24,497","12,841","335","25,690","6,356","317"
"29/02/2020","5,449","11,128","0","13,860","0","18"
"27/07/2022","20,776","9,797","262","22,413","5,697","222"
"18/03/2023","6,094","8,106","0","13,416","0","37"
"24/08/2023","24,499","14,894","385","28,677","6,154","351"
"21/04/2023","17,808","12,774","293","24,359","0","219"
"24/06/2024","23,503","12,534","370","25,507","6,692","330"
"03/10/2020","3,431","4,848","0","7,761","0","56"
"01/02/2020","4,108","5,600","0","8,677","0","45"
"05/01/2022","8,693","4,709","65","9,992","0","96"
"19/11/2020","20,629","10,504","293","21,355","5,526","125"
"15/08/2023","24,594","15,078","409","29,935","6,141","323"
"14/10/2019","26,194","15,540","478","33,727","6,480","17"
"05/08/2023","6,150","8,604","0","12,786","0","156"
"05/04/2024","21,292","12,378","324","23,882","5,412","310"
"21/07/2019","5,547","6,034","0","8,185","0","2"
"12/09/2019","26,586","15,291","497","33,218","6,271","78"
"01/06/2021","23,929","12,116","374","24,369","6,584","219"
"27/10/2023","24,140","14,195","273","27,321","6,518","354"
"14/06/2020","1,977","2,724","0","4,484","0","13"
"25/11/2020","20,275","10,621","326","21,237","5,476","142"
"25/08/2021","3,286","1,083","29","3,166","0","35"
"16/01/2024","18,350","12,211","414","22,649","0","279"
"28/04/2023","24,108","13,951","323","27,475","6,984","332"
"05/06/2024","26,010","13,641","430","27,700","7,369","385"
"02/07/2023","3,652","5,333","0","9,383","0","89"
"03/12/2023","4,267","5,889","0","9,913","0","98"
"13/02/2022","3,038","3,604","0","6,662","0","104"
"06/11/2021","3,275","4,207","0","6,862","0","85"
"10/09/2023","4,037","6,035","0","9,509","0","180"
"14/05/2021","23,817","12,504","270","24,755","6,323","217"
"11/05/2023","24,596","13,981","367","27,960","6,187","411"
"02/12/2023","6,198","7,671","0","12,961","0","67"
"06/09/2021","3,651","1,277","32","3,661","0","76"
"24/12/2020","9,397","6,587","42","11,315","0","92"
"09/07/2023","3,326","5,245","0","8,548","0","74"
"09/08/2024","25,125","13,851","298","28,145","6,945","215"
"12/12/2021","2,976","4,087","0","6,669","0","70"
"12/09/2024","25,197","13,477","403","28,274","7,160","246"
"01/02/2023","24,094","13,826","394","27,340","7,042","197"
